processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
DBMF456-10	DBMF-M456	1665680	UMTF03704	MR06-02	Universiti Malaysia Terengganu		BOLD:AAB5772	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3536	Alepes	11592	Alepes djedaba					(Forsskål, 1775)					Tun Nurul Aimi													FAO-71		4.333	113.995							Malaysia	Sarawak	South China Sea		Miri									
DBMF494-10	DBMF-M494	1720461	UMTF 03742	KDT01-05	Universiti Malaysia Terengganu		BOLD:AAB5271	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	64254	Megalaspis	64255	Megalaspis cordyla					Linnaeus, 1758					Tun Nurul Aimi													FAO-71		6.901	116.853							Malaysia	Sabah			Kudat									
DBMF638-10	DBMF-M638	1720605	UMTF 03886	SDK14-04	Universiti Malaysia Terengganu		BOLD:AAB5775	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3536	Alepes	68597	Alepes vari					Cuvier, 1833					Tun Nurul Aimi													FAO-71		5.839	118.121							Malaysia	Sabah	Sulu Sea		Sandakan									
DBMF683-10	DBMF-M683	1720650	UMTF 03931	TW05-01	Universiti Malaysia Terengganu		BOLD:AAB5271	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	64254	Megalaspis	64255	Megalaspis cordyla					Linnaeus, 1758					Tun Nurul Aimi													FAO-71		4.282	117.915							Malaysia	Sabah	Sulawesi Sea		Tawau									
DBMF742-10	DBMF-M742	1720709	UMTF 03990	KKJ02-01	Universiti Malaysia Terengganu		BOLD:AAB3382	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3549	Atule	18699	Atule mate					Cuvier, 1833					Tun Nurul Aimi													FAO-71		5.983	116.072							Malaysia	Sabah	South China Sea		Kota Kinabalu									
DBMF781-10	DBMF-M781	1720748	UMTF 04029	KKJ09-05	Universiti Malaysia Terengganu		BOLD:AAB5271	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	64254	Megalaspis	64255	Megalaspis cordyla					Linnaeus, 1758					Tun Nurul Aimi													FAO-71		5.983	116.072							Malaysia	Sabah	South China Sea		Kota Kinabalu									
DBMF801-10	DBMF-M801	1720768	UMTF 04049	KPJ01-01	Universiti Malaysia Terengganu		BOLD:AAB6418	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	595073	Scomberoidinae	3544	Scomberoides	20619	Scomberoides tol					Cuvier, 1832					Tun Nurul Aimi													FAO-71		6.4	100.131							Malaysia	Perlis	Malacca Strait		Kuala Perlis									
DBMF838-10	DBMF-M838	1720805	UMTF 04086	KPJ08-03	Universiti Malaysia Terengganu		BOLD:AAB6796	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3534	Decapterus	59233	Decapterus maruadsi					(Temminck & Schlegel, 1843)					Tun Nurul Aimi													FAO-71		6.4	100.131							Malaysia	Perlis	Malacca Strait		Kuala Perlis									
DNATR1777-13	TR1777EK	3045494		TR1777EK	Ankara University Biotechnology Institute		BOLD:AAD2425	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	669234	Trachinotinae	3540	Trachinotus	81400	Trachinotus ovatus			Emre Keskin		Linnaeus, 1758					Emre Keskin							A								38.9321	35.5689	Coordinates from country centroid						Turkey													
DNATR813-13	TR813EK	3044530		TR813EK	Ankara University Biotechnology Institute		BOLD:ACD2812	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	669234	Trachinotinae	3532	Lichia	11595	Lichia amia			Emre Keskin		Linnaeus, 1758					Emre Keskin							A								38.9321	35.5689	Coordinates from country centroid						Turkey													
DSLAF107-07	EIIIA6 #2	524464		EIIIA6 #2 20060910Yi	Research Collection of Allan Connell		BOLD:ADI4344	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3534	Decapterus	18713	Decapterus macrosoma			Dirk Steinke	BOLD assignment	Bleeker, 1851		unvouchered			Allan D. Connell							i						EIIIA6 #2 2006/09/10Yi	Actinopterygii	-30.333	30.75	Gazetteer			12.5			South Africa	KwaZulu-Natal	Ugu		Park Rynie	2759510|2759509	http://www.boldsystems.org/pics/TZSAL/E_III_A6_egg+1447794278.jpg|http://www.boldsystems.org/pics/TZSAL/E_III_A6+1447794290.jpg	Total|Lateral	Egg|Larva	Allan Connell|Allan Connell	2013|2013	CreativeCommons - Attribution Non-Commercial|CreativeCommons - Attribution Non-Commercial	South African Institute for Aquatic Biodiversity|South African Institute for Aquatic Biodiversity	|
DSLAF541-08	ACD07_L II A4#2	710590		j II A4_952007Ei #2	Research Collection of Allan Connell		BOLD:AAC0327	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	595072	Naucratinae	3531	Seriola	11519	Seriola lalandi			Dirk Steinke	BOLD assignment	Valenciennes, 1833		unvouchered			Allan D. Connell							i						j II A4_9/5/2007Ei #2	Actinopterygii	-30.333	30.75	Gazetteer			12.5			South Africa	KwaZulu-Natal	Ugu		Park Rynie	2757099|2757098	http://www.boldsystems.org/pics/TZSAL/L_II_A4_egg+1446582280.JPG|http://www.boldsystems.org/pics/TZSAL/L_II_A4+1446582274.jpg	Total|Lateral	Egg|Larva	Allan Connell|Allan Connell	2013|2013	CreativeCommons - Attribution Non-Commercial|CreativeCommons - Attribution Non-Commercial	South African Institute for Aquatic Biodiversity|South African Institute for Aquatic Biodiversity	|
DSLAG1323-11	ADC11-0308	2065539		EIIIA6 13.9.2010K #1	Research Collection of Allan Connell		BOLD:AAA8614	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3511	Trachurus	352344	Trachurus delagoa			Dirk Steinke	BOLD assignment	Nekrasov, 1970		unvouchered			Allan D. Connell							i						EIIIA6 13.9.2010K #1	Actinopterygii	-29.867	31.05	Gazetteer						South Africa	KwaZulu-Natal			Durban	2759236|2759237	http://www.boldsystems.org/pics/TZSAL/E_III_A6+1447794290.jpg|http://www.boldsystems.org/pics/TZSAL/E_III_A6_egg+1447794278.jpg	Lateral|Total	Larva|Egg	Allan Connell|Allan Connell	2013|2013	CreativeCommons - Attribution Non-Commercial|CreativeCommons - Attribution Non-Commercial	South African Institute for Aquatic Biodiversity|South African Institute for Aquatic Biodiversity	|
DSLAR236-08	ADC08-E III A6.x	959882		E III A6882008Qi #6	Research Collection of Allan Connell		BOLD:AAA8614	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3511	Trachurus	352344	Trachurus delagoa			Dirk Steinke	BOLD assignment	Nekrasov, 1970		unvouchered			Allan D. Connell							i						E III A68/8/2008Qi #6	Actinopterygii	-30.333	30.75	Gazetteer			12.5			South Africa	KwaZulu-Natal	Ugu		Park Rynie	2757393|2757392	http://www.boldsystems.org/pics/TZSAL/E_III_A6_egg+1447794278.jpg|http://www.boldsystems.org/pics/TZSAL/E_III_A6+1447794290.jpg	Total|Lateral	Egg|Larva	Allan Connell|Allan Connell	2013|2013	CreativeCommons - Attribution Non-Commercial|CreativeCommons - Attribution Non-Commercial	South African Institute for Aquatic Biodiversity|South African Institute for Aquatic Biodiversity	|
FARG524-08	INIDEP-T 0523	810558		INIDEP-T 0523	Universidad Nacional de Mar del Plata		BOLD:AAF1235	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3543	Selene	88380	Selene vomer			Mariano Gonzalez Castro		Linnaeus, 1758														S				102 TL, 85 StL, 23 g		-37.5333	-57.3167			0.5				Argentina		Mch											
FCFPS187-06	FCFOPS187	221970	MB85-005371	S187	Universidade de Lisboa, Museu Bocage		BOLD:AAA8614	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3511	Trachurus	11629	Trachurus picturatus			Esmeralda Costa		Bowdich, 1825												A		S				Grade A, 07-10-2011 ML: FAO-27										Portugal	Faro	Algarve	Sub-area IXa										
